Razao Social,CNPJ,Residuos,Custos
EcoFabrica LTDA,CNPJ: 01234567890123,Residuos KG: 111.00,Custos R$: 111.00
Recycletech S/A,CNPJ: 09876543210987,Residuos KG: 111.00,Custos R$: 111.11
SolarPower LTDA,CNPJ: 12345678901234,Residuos KG: 50.00,Custos R$: 200.00
VerdeLimpo LTDA,CNPJ: 23456789012345,Residuos KG: 555.00,Custos R$: 555.00
EcoMóveis LTDA,CNPJ: 34567890123456,Residuos KG: 80.00,Custos R$: 250.00
Indústria de Biocombustíveis LTDA,CNPJ: 45678901234567,Residuos KG: 300.00,Custos R$: 800.00
Plástico Verde LTDA,CNPJ: 56789012345678,Residuos KG: 250.00,Custos R$: 700.00
Energia Limpa LTDA,CNPJ: 67890123456789,Residuos KG: 400.00,Custos R$: 1200.00
Fábrica de Compostagem LTDA,CNPJ: 78901234567890,Residuos KG: 100.00,Custos R$: 350.00
Indústria de Reciclagem LTDA,CNPJ: 89012345678901,Residuos KG: 500.00,Custos R$: 1500.00
BioPlástico LTDA,CNPJ: 01234567890124,Residuos KG: 120.00,Custos R$: 320.00
Energia Eólica LTDA,CNPJ: 09876543210988,Residuos KG: 90.00,Custos R$: 250.00
ReciclaFácil LTDA,CNPJ: 12345678901235,Residuos KG: 200.00,Custos R$: 500.00
Fábrica Sustentável LTDA,CNPJ: 23456789012346,Residuos KG: 300.00,Custos R$: 800.00
EcoCimento LTDA,CNPJ: 45678901234568,Residuos KG: 250.00,Custos R$: 600.00
AgroSustentável LTDA,CNPJ: 56789012345679,Residuos KG: 180.00,Custos R$: 450.00
Indústria de Energia Solar LTDA,CNPJ: 67890123456780,Residuos KG: 350.00,Custos R$: 1000.00
Fábrica de Papel Reciclado LTDA,CNPJ: 78901234567891,Residuos KG: 200.00,Custos R$: 600.00
Sustentabilidade em Plástico LTDA,CNPJ: 89012345678902,Residuos KG: 300.00,Custos R$: 900.00
EcoFibras LTDA,CNPJ: 01234567890125,Residuos KG: 110.00,Custos R$: 350.00
Fábrica de Biocombustíveis LTDA,CNPJ: 09876543210989,Residuos KG: 220.00,Custos R$: 600.00
GreenTech LTDA,CNPJ: 12345678901236,Residuos KG: 95.00,Custos R$: 300.00
Ciclo Verde LTDA,CNPJ: 23456789012347,Residuos KG: 130.00,Custos R$: 450.00
EcoConstrução LTDA,CNPJ: 34567890123458,Residuos KG: 250.00,Custos R$: 800.00
Fábrica de Reciclagem de Eletrônicos LTDA,CNPJ: 45678901234569,Residuos KG: 300.00,Custos R$: 700.00
BioAgro LTDA,CNPJ: 56789012345670,Residuos KG: 160.00,Custos R$: 400.00
Energia do Mar LTDA,CNPJ: 67890123456781,Residuos KG: 400.00,Custos R$: 1200.00
Fábrica de Sementes Sustentáveis LTDA,CNPJ: 78901234567892,Residuos KG: 180.00,Custos R$: 550.00
Indústria de Materiais Recicláveis LTDA,CNPJ: 89012345678903,Residuos KG: 250.00,Custos R$: 900.00
EcoTêxtil LTDA,CNPJ: 01234567890126,Residuos KG: 130.00,Custos R$: 370.00
ReciclaPlástico LTDA,CNPJ: 09876543210990,Residuos KG: 150.00,Custos R$: 320.00
Energia Solar do Brasil LTDA,CNPJ: 12345678901237,Residuos KG: 70.00,Custos R$: 220.00
Fábrica Verde LTDA,CNPJ: 23456789012348,Residuos KG: 200.00,Custos R$: 600.00
EcoCervejaria LTDA,CNPJ: 34567890123459,Residuos KG: 160.00,Custos R$: 450.00
Sustentabilidade em Papel LTDA,CNPJ: 45678901234570,Residuos KG: 120.00,Custos R$: 300.00
BioFertilizantes LTDA,CNPJ: 56789012345671,Residuos KG: 200.00,Custos R$: 500.00
Indústria de Energia Geotérmica LTDA,CNPJ: 67890123456782,Residuos KG: 300.00,Custos R$: 800.00
Fábrica de Lâmpadas LED LTDA,CNPJ: 78901234567893,Residuos KG: 90.00,Custos R$: 200.00
Indústria de Compostagem LTDA,CNPJ: 89012345678904,Residuos KG: 150.00,Custos R$: 400.00
EcoCarros LTDA,CNPJ: 01234567890127,Residuos KG: 250.00,Custos R$: 800.00
Fábrica de Reciclagem de Papel LTDA,CNPJ: 09876543210991,Residuos KG: 180.00,Custos R$: 500.00
Indústria de Bioplásticos LTDA,CNPJ: 12345678901238,Residuos KG: 220.00,Custos R$: 600.00
Fábrica de Energia Eólica LTDA,CNPJ: 23456789012349,Residuos KG: 300.00,Custos R$: 900.00
ReciclaVidro LTDA,CNPJ: 34567890123460,Residuos KG: 140.00,Custos R$: 350.00
Fábrica de Produtos Naturais LTDA,CNPJ: 45678901234571,Residuos KG: 110.00,Custos R$: 280.00
Indústria de Energia Hidrelétrica LTDA,CNPJ: 56789012345672,Residuos KG: 350.00,Custos R$: 1000.00
Fábrica de Roupas Recicladas LTDA,CNPJ: 67890123456783,Residuos KG: 130.00,Custos R$: 370.00
Indústria de Sementes Orgânicas LTDA,CNPJ: 78901234567894,Residuos KG: 160.00,Custos R$: 111.11

TOTAL DE RESIDUOS TRATADOS EM KG: 9952.00
TOTAL DE CUSTOS EM R$: 26518.22

GreenFlow-2024
